Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,20MICRONS,EQ,35.2,36.0,36.8,35.25,35.65,35.8,35.96,49077,176457710000.0,370,36031,0.7342000000000001
2020-01-02,20MICRONS,EQ,35.8,36.0,36.2,35.1,35.8,35.55,35.51,25846,91766355000.0,247,17500,0.6770999999999999
2020-01-03,20MICRONS,EQ,35.55,35.85,35.85,34.95,35.2,35.05,35.32,12358,43654150000.0,241,9896,0.8008
2020-01-06,20MICRONS,EQ,35.05,35.5,35.5,32.2,34.1,32.8,33.33,42082,140280060000.0,802,18839,0.44770000000000004
2020-01-07,20MICRONS,EQ,32.8,32.35,34.8,32.35,33.3,33.2,33.73,24770,83553535000.0,604,10394,0.41960000000000003
2020-01-08,20MICRONS,EQ,33.2,33.0,33.4,32.3,32.75,32.7,32.69,25706,84032870000.0,451,13820,0.5376
2020-01-09,20MICRONS,EQ,32.7,33.2,34.0,33.1,33.7,33.4,33.62,19395,65202205000.00001,858,14188,0.7315
2020-01-10,20MICRONS,EQ,33.4,33.45,34.9,33.45,34.25,34.3,34.25,30558,104649880000.0,664,19514,0.6386000000000001
2020-01-13,20MICRONS,EQ,34.3,34.9,36.9,33.3,35.85,35.9,35.63,55975,199455525000.0,1316,23114,0.4129
2020-01-14,20MICRONS,EQ,35.9,35.85,36.9,35.2,36.5,36.05,36.2,42338,153268995000.0,923,19770,0.467
2020-01-15,20MICRONS,EQ,36.05,36.8,36.8,35.5,36.2,36.05,36.2,17254,62463769999.99999,230,11208,0.6496
2020-01-16,20MICRONS,EQ,36.05,35.3,36.5,34.5,35.6,35.55,35.72,28097,100367630000.0,493,16091,0.5727000000000001
2020-01-17,20MICRONS,EQ,35.55,36.25,36.25,34.8,35.0,35.05,35.35,33478,118330795000.0,332,26907,0.8037000000000001
2020-01-20,20MICRONS,EQ,35.05,34.75,36.0,34.2,34.25,34.35,34.94,22341,78067260000.0,439,15431,0.6907
2020-01-21,20MICRONS,EQ,34.35,34.35,35.5,33.3,34.3,34.25,34.41,18479,63589225000.0,204,12695,0.687
2020-01-22,20MICRONS,EQ,34.25,35.15,35.35,33.35,33.4,33.5,33.79,34294,115881130000.0,1029,23110,0.6739
2020-01-23,20MICRONS,EQ,33.5,33.85,34.2,33.4,33.7,33.7,33.7,10578,35652505000.0,222,7577,0.7162999999999999
2020-01-24,20MICRONS,EQ,33.7,33.45,38.0,33.45,36.8,36.5,36.63,201248,737165790000.0,1964,105617,0.5247999999999999
2020-01-27,20MICRONS,EQ,36.5,37.65,37.65,36.0,36.0,36.15,36.53,40850,149241185000.0,398,26859,0.6575
2020-01-28,20MICRONS,EQ,36.15,36.55,36.95,35.15,36.5,36.0,36.24,41787,151445070000.0,505,29093,0.6962
2020-01-29,20MICRONS,EQ,36.0,36.0,36.3,35.0,35.4,35.15,35.56,12632,44921870000.0,146,10533,0.8338
2020-01-30,20MICRONS,EQ,35.15,35.6,36.0,34.1,35.0,34.7,35.12,22212,78001500000.0,371,11966,0.5387
2020-01-31,20MICRONS,EQ,34.7,35.0,35.85,34.7,35.0,34.9,35.15,23186,81488475000.0,507,11572,0.4991
2020-02-01,20MICRONS,EQ,34.9,35.15,35.4,33.5,33.5,33.75,34.2,23771,81304080000.0,366,10917,0.4593
2020-02-03,20MICRONS,EQ,33.75,34.5,34.85,33.5,34.15,34.45,34.43,13398,46134295000.0,304,9613,0.7175
2020-02-04,20MICRONS,EQ,34.45,34.7,35.5,34.0,34.8,34.8,34.84,19419,67646480000.00001,328,13808,0.7111
2020-02-05,20MICRONS,EQ,34.8,35.2,35.2,34.2,35.0,34.9,34.75,37037,128701400000.0,503,27193,0.7342000000000001
2020-02-06,20MICRONS,EQ,34.9,34.35,35.75,33.5,34.35,34.3,34.81,26322,91617915000.0,285,15357,0.5834
2020-02-07,20MICRONS,EQ,34.3,34.95,35.0,33.55,34.1,34.15,34.2,34810,119061439999.99998,245,29688,0.8529000000000001
2020-02-10,20MICRONS,EQ,34.15,34.45,35.75,33.75,34.0,33.85,34.21,21994,75231980000.0,301,13310,0.6052000000000001
2020-02-11,20MICRONS,EQ,33.85,34.3,35.25,33.15,34.0,34.05,34.16,29870,102030015000.0,260,22283,0.746
2020-02-12,20MICRONS,EQ,34.05,33.3,35.7,33.3,34.25,34.5,34.74,70278,244120095000.00003,581,34026,0.4842
2020-02-13,20MICRONS,EQ,34.5,35.2,35.75,34.55,35.2,35.35,35.24,90381,318458875000.0,1560,72774,0.8052
2020-02-14,20MICRONS,EQ,35.35,35.95,35.95,34.7,35.0,34.8,35.08,16456,57719894999.99999,250,10210,0.6204
2020-02-17,20MICRONS,EQ,34.8,35.1,35.5,33.4,33.4,33.5,33.92,22503,76326895000.0,355,18172,0.8075
2020-02-18,20MICRONS,EQ,33.5,33.5,33.5,32.75,32.75,32.95,33.16,18324,60766725000.0,236,15650,0.8541
